"Status","Year","Region_ITL3","Region_london","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Aberdeen City and Aberdeenshire","Outside London","AA","Female","60","45","21770","21640"
"In post","2022","Aberdeen City and Aberdeenshire","Outside London","AA","Male","20","15","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","Outside London","AO","Female","215","200","24060","23230"
"In post","2022","Aberdeen City and Aberdeenshire","Outside London","AO","Male","230","225","29490","27360"
"In post","2022","Aberdeen City and Aberdeenshire","Outside London","EO","Female","345","315","28840","27570"
"In post","2022","Aberdeen City and Aberdeenshire","Outside London","EO","Male","285","280","30580","29550"
"In post","2022","Aberdeen City and Aberdeenshire","Outside London","G6","Female","15","15","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","Outside London","G6","Male","25","25","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","Outside London","G7","Female","40","40","59100","57190"
"In post","2022","Aberdeen City and Aberdeenshire","Outside London","G7","Male","55","55","67860","62170"
"In post","2022","Aberdeen City and Aberdeenshire","Outside London","HEO","Female","160","150","34290","33070"
"In post","2022","Aberdeen City and Aberdeenshire","Outside London","HEO","Male","155","150","37610","36130"
"In post","2022","Aberdeen City and Aberdeenshire","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","Outside London","SEO","Female","130","120","49120","45210"
"In post","2022","Aberdeen City and Aberdeenshire","Outside London","SEO","Male","190","180","60640","47490"
"In post","2022","Angus and Dundee City","Outside London","AA","Female","205","190","21590","21050"
"In post","2022","Angus and Dundee City","Outside London","AA","Male","160","155","21600","21050"
"In post","2022","Angus and Dundee City","Outside London","AO","Female","425","380","21640","21260"
"In post","2022","Angus and Dundee City","Outside London","AO","Male","275","265","21620","21260"
"In post","2022","Angus and Dundee City","Outside London","EO","Female","400","360","27620","27570"
"In post","2022","Angus and Dundee City","Outside London","EO","Male","230","220","27660","27570"
"In post","2022","Angus and Dundee City","Outside London","G6","Female","20","20","[c]","[c]"
"In post","2022","Angus and Dundee City","Outside London","G6","Male","10","10","[c]","[c]"
"In post","2022","Angus and Dundee City","Outside London","G7","Female","25","25","[c]","[c]"
"In post","2022","Angus and Dundee City","Outside London","G7","Male","20","20","[c]","[c]"
"In post","2022","Angus and Dundee City","Outside London","HEO","Female","125","120","32830","31540"
"In post","2022","Angus and Dundee City","Outside London","HEO","Male","65","65","32600","31540"
"In post","2022","Angus and Dundee City","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Angus and Dundee City","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Angus and Dundee City","Outside London","SEO","Female","75","75","44050","41750"
"In post","2022","Angus and Dundee City","Outside London","SEO","Male","40","35","44090","40810"
"In post","2022","Antrim and Newtownabbey","Outside London","AA","Female","20","20","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","AA","Male","85","85","20130","20560"
"In post","2022","Antrim and Newtownabbey","Outside London","AO","Female","20","20","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","AO","Male","20","20","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","EO","Female","5","5","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","EO","Male","15","15","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","HEO","Female","10","10","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","HEO","Male","15","15","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","SEO","Female","5","5","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","SEO","Male","5","5","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","AA","Female","10","10","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","AA","Male","90","90","20380","20560"
"In post","2022","Ards and North Down","Outside London","AO","Female","25","20","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","AO","Male","40","40","23470","22130"
"In post","2022","Ards and North Down","Outside London","EO","Female","15","15","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","EO","Male","15","15","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","G6","Female","[c]","[c]","[c]","[c]"
