"Status","Year","Profession_of_post","Region_ITL1","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","North Nottinghamshire","10","10","47030","43480"
"In post","2022","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","Nottingham","50","45","39330","38020"
"In post","2022","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","South and West Derbyshire","25","25","47900","45870"
"In post","2022","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","South Nottinghamshire","5","5","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicester","10","10","34560","30870"
"In post","2022","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","5","5","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Lincolnshire","Lincolnshire CC","15","15","39820","38550"
"In post","2022","Commercial","East of England","Bedfordshire and Hertfordshire","Bedford","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","Bedfordshire and Hertfordshire","Central Bedfordshire","5","5","[c]","[c]"
"In post","2022","Commercial","East of England","Bedfordshire and Hertfordshire","Hertfordshire CC","10","10","[c]","[c]"
"In post","2022","Commercial","East of England","East Anglia","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","East Anglia","Cambridgeshire CC","50","50","35220","34610"
"In post","2022","Commercial","East of England","East Anglia","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","East Anglia","Norwich and East Norfolk","70","70","36420","38330"
"In post","2022","Commercial","East of England","East Anglia","Peterborough","30","30","42450","37380"
"In post","2022","Commercial","East of England","East Anglia","Suffolk CC","25","25","42200","39430"
"In post","2022","Commercial","East of England","Essex","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","Essex","West Essex","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Inner London - East","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Inner London - East","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Inner London - East","Lambeth","40","40","50810","53120"
"In post","2022","Commercial","London","Inner London - East","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Inner London - East","Tower Hamlets","55","55","44020","42010"
"In post","2022","Commercial","London","Inner London - West","Camden and City of London","5","5","[c]","[c]"
"In post","2022","Commercial","London","Inner London - West","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Inner London - West","Westminster","810","790","47860","42470"
"In post","2022","Commercial","London","Outer London - East and North East","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Outer London - East and North East","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Outer London - East and North East","Enfield","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Outer London - South","Croydon","110","110","43240","41950"
"In post","2022","Commercial","London","Outer London - South","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Outer London - West and North West","Barnet","15","15","45090","41210"
"In post","2022","Commercial","London","Outer London - West and North West","Brent","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Outer London - West and North West","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Outer London - West and North West","Hounslow and Richmond upon Thames","45","40","34170","25340"
"In post","2022","Commercial","North East (England)","Northumberland, and Tyne and Wear","Northumberland","5","5","[c]","[c]"
"In post","2022","Commercial","North East (England)","Northumberland, and Tyne and Wear","Sunderland","5","5","[c]","[c]"
"In post","2022","Commercial","North East (England)","Northumberland, and Tyne and Wear","Tyneside","75","70","37170","36500"
"In post","2022","Commercial","North East (England)","Tees Valley and Durham","Darlington","70","70","37490","36500"
"In post","2022","Commercial","North East (England)","Tees Valley and Durham","Durham","20","20","40640","41740"
"In post","2022","Commercial","North East (England)","Tees Valley and Durham","Hartlepool and Stockton-on-Tees","5","5","[c]","[c]"
"In post","2022","Commercial","North West (England)","Cheshire","Cheshire East","5","5","[c]","[c]"
"In post","2022","Commercial","North West (England)","Cheshire","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","Cheshire","Warrington","20","20","38380","37150"
"In post","2022","Commercial","North West (England)","Cumbria","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","Cumbria","West Cumbria","15","15","40490","37400"
"In post","2022","Commercial","North West (England)","Greater Manchester","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","Greater Manchester","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","Greater Manchester","Greater Manchester South West","85","80","40170","40520"
"In post","2022","Commercial","North West (England)","Greater Manchester","Manchester","150","150","38890","36500"
"In post","2022","Commercial","North West (England)","Lancashire","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","Lancashire","Blackpool","40","40","36360","31990"
