"Status","Year","Profession_of_post","Region_ITL3","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","Aberdeen City and Aberdeenshire","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Aberdeen City and Aberdeenshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Aberdeen City and Aberdeenshire","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Aberdeen City and Aberdeenshire","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Angus and Dundee City","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Antrim and Newtownabbey","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barking & Dagenham and Havering","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnsley, Doncaster and Rotherham","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Commercial","Barnsley, Doncaster and Rotherham","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnsley, Doncaster and Rotherham","Outside London","SEO","5","5","[c]","[c]"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AO","5","5","[c]","[c]"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","EO","150","145","24170","24000"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G6","70","65","69800","68320"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G7","140","135","52960","53500"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","HEO","340","330","31330","32890"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SCS level","20","15","105120","103620"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SEO","340","325","40170","40580"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","130","125","40540","37500"
"In post","2022","Commercial","Bedford","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedford","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Belfast","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire","Outside London","SEO","10","10","[c]","[c]"
"In post","2022","Commercial","Bexley and Greenwich","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bexley and Greenwich","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bexley and Greenwich","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Birmingham","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Birmingham","Outside London","EO","15","15","26720","25520"
"In post","2022","Commercial","Birmingham","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Birmingham","Outside London","G7","10","10","[c]","[c]"
"In post","2022","Commercial","Birmingham","Outside London","HEO","20","20","32180","31990"
"In post","2022","Commercial","Birmingham","Outside London","SEO","20","20","40470","38600"
"In post","2022","Commercial","Birmingham","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Blackburn with Darwen","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Blackpool","Outside London","EO","10","10","27570","27570"
"In post","2022","Commercial","Blackpool","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Blackpool","Outside London","G7","5","5","[c]","[c]"
"In post","2022","Commercial","Blackpool","Outside London","HEO","15","10","32220","31990"
"In post","2022","Commercial","Blackpool","Outside London","SEO","10","10","[c]","[c]"
"In post","2022","Commercial","Bournemouth, Christchurch and Poole","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bournemouth, Christchurch and Poole","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bournemouth, Christchurch and Poole","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bradford","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Breckland and South Norfolk","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brent","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brent","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bridgend and Neath Port Talbot","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bridgend and Neath Port Talbot","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bridgend and Neath Port Talbot","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brighton and Hove","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brighton and Hove","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bristol, City of","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bristol, City of","Outside London","EO","10","10","[c]","[c]"
"In post","2022","Commercial","Bristol, City of","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bristol, City of","Outside London","G7","10","10","[c]","[c]"
"In post","2022","Commercial","Bristol, City of","Outside London","HEO","20","15","31330","31040"
"In post","2022","Commercial","Bristol, City of","Outside London","SEO","35","35","39430","39280"
"In post","2022","Commercial","Bristol, City of","Outside London","Unknown","[c]","[c]","[c]","[c]"
