"Status","Year","Age","Disability","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Outside London","45","40","21070","21050"
"In post","2022","16-19","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","London","80","75","25030","25060"
"In post","2022","16-19","Declared non-disabled","Outside London","590","575","21570","21260"
"In post","2022","16-19","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","London","60","60","26280","25630"
"In post","2022","16-19","Unknown","Outside London","455","435","21280","21250"
"In post","2022","16-19","Unknown","Unknown","35","35","17940","16450"
"In post","2022","20-29","Declared disabled","London","1680","1665","35960","33570"
"In post","2022","20-29","Declared disabled","Outside London","4060","3975","26880","26100"
"In post","2022","20-29","Declared disabled","Overseas","20","20","[c]","[c]"
"In post","2022","20-29","Declared disabled","Unknown","20","20","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","London","13325","13235","37160","34260"
"In post","2022","20-29","Declared non-disabled","Outside London","36680","36095","27080","26370"
"In post","2022","20-29","Declared non-disabled","Overseas","220","220","34230","32750"
"In post","2022","20-29","Declared non-disabled","Unknown","160","160","30080","28000"
"In post","2022","20-29","Undeclared","London","805","795","37450","34550"
"In post","2022","20-29","Undeclared","Outside London","1620","1595","27370","26820"
"In post","2022","20-29","Undeclared","Overseas","5","5","[c]","[c]"
"In post","2022","20-29","Undeclared","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","London","8145","8105","35850","32940"
"In post","2022","20-29","Unknown","Outside London","17130","16825","26660","25000"
"In post","2022","20-29","Unknown","Overseas","80","80","39250","38090"
"In post","2022","20-29","Unknown","Unknown","615","615","29130","28980"
"In post","2022","30-39","Declared disabled","London","1895","1835","44710","40960"
"In post","2022","30-39","Declared disabled","Outside London","6910","6525","30410","27570"
"In post","2022","30-39","Declared disabled","Overseas","75","75","48810","51500"
"In post","2022","30-39","Declared disabled","Unknown","25","25","[c]","[c]"
"In post","2022","30-39","Declared non-disabled","London","16425","15930","46270","42780"
"In post","2022","30-39","Declared non-disabled","Outside London","56195","53050","31810","28030"
"In post","2022","30-39","Declared non-disabled","Overseas","625","620","45710","47040"
"In post","2022","30-39","Declared non-disabled","Unknown","150","145","34370","31060"
"In post","2022","30-39","Undeclared","London","1175","1140","45580","41950"
"In post","2022","30-39","Undeclared","Outside London","3945","3745","31320","27570"
"In post","2022","30-39","Undeclared","Overseas","40","40","43920","42200"
"In post","2022","30-39","Undeclared","Unknown","5","5","[c]","[c]"
"In post","2022","30-39","Unknown","London","5710","5590","46670","43320"
"In post","2022","30-39","Unknown","Outside London","17570","16795","31810","28010"
"In post","2022","30-39","Unknown","Overseas","290","290","49110","51500"
"In post","2022","30-39","Unknown","Unknown","485","485","37670","34260"
"In post","2022","40-49","Declared disabled","London","2145","2035","44550","38920"
"In post","2022","40-49","Declared disabled","Outside London","10225","9445","31420","27570"
"In post","2022","40-49","Declared disabled","Overseas","65","65","48050","53470"
"In post","2022","40-49","Declared disabled","Unknown","35","30","33470","27570"
"In post","2022","40-49","Declared non-disabled","London","15565","14765","49150","43850"
"In post","2022","40-49","Declared non-disabled","Outside London","62790","58620","34380","29750"
"In post","2022","40-49","Declared non-disabled","Overseas","715","715","52890","54470"
"In post","2022","40-49","Declared non-disabled","Unknown","195","190","35440","31060"
"In post","2022","40-49","Undeclared","London","1200","1155","45790","41500"
"In post","2022","40-49","Undeclared","Outside London","5190","4905","33100","30980"
"In post","2022","40-49","Undeclared","Overseas","40","40","47010","42030"
"In post","2022","40-49","Undeclared","Unknown","20","15","[c]","[c]"
"In post","2022","40-49","Unknown","London","3865","3715","51650","49700"
"In post","2022","40-49","Unknown","Outside London","13700","12950","35410","31260"
"In post","2022","40-49","Unknown","Overseas","330","325","53720","52430"
"In post","2022","40-49","Unknown","Unknown","410","405","41690","35380"
"In post","2022","50-59","Declared disabled","London","3005","2880","41680","35590"
"In post","2022","50-59","Declared disabled","Outside London","16285","14985","30950","27570"
"In post","2022","50-59","Declared disabled","Overseas","60","60","49320","40580"
"In post","2022","50-59","Declared disabled","Unknown","55","50","32940","28330"
"In post","2022","50-59","Declared non-disabled","London","16195","15625","45180","38230"
"In post","2022","50-59","Declared non-disabled","Outside London","78590","73525","33700","28200"
"In post","2022","50-59","Declared non-disabled","Overseas","640","635","51810","50420"
"In post","2022","50-59","Declared non-disabled","Unknown","240","230","33480","30330"
"In post","2022","50-59","Undeclared","London","1605","1560","42670","36850"
"In post","2022","50-59","Undeclared","Outside London","8115","7650","32430","31180"
"In post","2022","50-59","Undeclared","Overseas","55","55","49800","48570"
"In post","2022","50-59","Undeclared","Unknown","15","15","[c]","[c]"
"In post","2022","50-59","Unknown","London","3340","3240","50000","42870"
"In post","2022","50-59","Unknown","Outside London","14075","13155","34820","30450"
"In post","2022","50-59","Unknown","Overseas","215","215","56290","55920"
"In post","2022","50-59","Unknown","Unknown","555","550","42820","38310"
"In post","2022","60-64","Declared disabled","London","865","770","36890","31880"
