"Status","Year","Age","Disability","Ethnicity","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Asian","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","North West (England)","[c]","[c]","[c]","[c]"
