"Status","Year","Age","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Attorney General's Departments","40","40","22350","22200"
"In post","2022","16-19","Cabinet Office","20","20","24820","24490"
"In post","2022","16-19","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","25","25","22690","21810"
"In post","2022","16-19","Department for Education","10","10","24990","25000"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","45","40","22660","21300"
"In post","2022","16-19","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","10","10","25890","24830"
"In post","2022","16-19","Department for Transport","100","85","19970","18310"
"In post","2022","16-19","Department for Work and Pensions","150","145","23040","21260"
"In post","2022","16-19","Department of Health and Social Care","20","15","21850","22350"
"In post","2022","16-19","Foreign, Commonwealth and Development Office","30","30","20280","19110"
"In post","2022","16-19","HM Land Registry","10","10","21040","20340"
"In post","2022","16-19","HM Revenue and Customs","215","205","22170","21250"
"In post","2022","16-19","HM Treasury","10","10","24000","24300"
"In post","2022","16-19","Home Office","55","50","23480","21680"
"In post","2022","16-19","Ministry of Defence","210","210","18790","18030"
"In post","2022","16-19","Ministry of Justice","200","200","22980","23140"
"In post","2022","16-19","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","5","5","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Government","85","85","22100","21050"
"In post","2022","16-19","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","25","20","21030","19860"
"In post","2022","16-19","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Departments","1475","1460","30170","26950"
"In post","2022","20-29","Cabinet Office","3570","3560","34230","31250"
"In post","2022","20-29","Chancellor's other departments","75","75","37300","35710"
"In post","2022","20-29","Charity Commission","70","70","26180","24440"
"In post","2022","20-29","Competition and Markets Authority","150","150","39120","33610"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","3180","3165","36360","33570"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","765","765","38740","34020"
"In post","2022","20-29","Department for Education","1795","1785","35290","32940"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs","2530","2500","30500","29180"
"In post","2022","20-29","Department for International Trade","1030","1025","38120","38160"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities","1040","1035","36980","33210"
"In post","2022","20-29","Department for Transport","2260","2215","30720","27770"
"In post","2022","20-29","Department for Work and Pensions","11040","10840","26980","27570"
"In post","2022","20-29","Department of Health and Social Care","2870","2790","33960","32330"
"In post","2022","20-29","Estyn","5","5","[c]","[c]"
"In post","2022","20-29","Food Standards Agency","135","135","32380","30350"
"In post","2022","20-29","Foreign, Commonwealth and Development Office","1260","1260","34480","33930"
"In post","2022","20-29","HM Land Registry","1125","1105","26130","25850"
"In post","2022","20-29","HM Revenue and Customs","12155","11930","28800","26590"
"In post","2022","20-29","HM Treasury","1055","1045","38520","32960"
"In post","2022","20-29","Home Office","5540","5455","29390","25040"
"In post","2022","20-29","Ministry of Defence","7685","7640","29070","27540"
"In post","2022","20-29","Ministry of Justice","15745","15515","26500","25120"
"In post","2022","20-29","National Crime Agency","875","870","33610","32770"
"In post","2022","20-29","Northern Ireland Office","40","40","40960","41750"
"In post","2022","20-29","Office for Standards in Education, Children's Services and Skills","135","130","28730","25880"
"In post","2022","20-29","Office of Gas and Electricity Markets","380","375","30580","29040"
"In post","2022","20-29","Office of Qualifications and Examinations Regulation","35","35","31920","31000"
"In post","2022","20-29","Office of Rail and Road","35","35","36330","34410"
"In post","2022","20-29","Office of the Secretary of State for Scotland","35","35","33160","33070"
"In post","2022","20-29","Office of the Secretary of State for Wales","15","15","31140","30450"
"In post","2022","20-29","Scottish Government","4360","4290","28610","27230"
"In post","2022","20-29","The National Archives","95","90","26580","23810"
"In post","2022","20-29","UK Export Finance","110","110","36750","33180"
"In post","2022","20-29","UK Statistics Authority","1290","1260","30900","30710"
"In post","2022","20-29","UK Supreme Court","10","10","34760","37230"
"In post","2022","20-29","Water Services Regulation Authority","45","45","34540","30000"
"In post","2022","20-29","Welsh Government","560","550","28480","25860"
"In post","2022","30-39","Attorney General's Departments","2165","2050","44800","48830"
"In post","2022","30-39","Cabinet Office","2835","2785","48450","49700"
"In post","2022","30-39","Chancellor's other departments","115","110","55160","48900"
"In post","2022","30-39","Charity Commission","110","110","34010","29160"
"In post","2022","30-39","Competition and Markets Authority","305","295","60250","57060"
