"Status","Year","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Bedfordshire and Hertfordshire","AA","245","230","21100","21760"
"In post","2022","Bedfordshire and Hertfordshire","AO","940","880","25820","24290"
"In post","2022","Bedfordshire and Hertfordshire","EO","1610","1500","29030","29290"
"In post","2022","Bedfordshire and Hertfordshire","G6","110","110","70540","68500"
"In post","2022","Bedfordshire and Hertfordshire","G7","300","285","57970","56130"
"In post","2022","Bedfordshire and Hertfordshire","HEO","625","605","35390","35120"
"In post","2022","Bedfordshire and Hertfordshire","SCS level","40","40","89690","88300"
"In post","2022","Bedfordshire and Hertfordshire","SEO","420","405","44000","43810"
"In post","2022","Bedfordshire and Hertfordshire","Unknown","405","375","29580","28200"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","AA","540","515","20960","20890"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","AO","2730","2590","26970","25110"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","EO","2330","2200","29470","28350"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","G6","195","185","72020","69710"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","G7","590","550","56560","55150"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","HEO","1420","1355","35030","34290"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","SCS level","65","60","98920","97110"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","SEO","1010","975","43390","42000"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Unknown","655","615","28950","25790"
"In post","2022","Cheshire","AA","165","155","20650","20890"
"In post","2022","Cheshire","AO","1185","1080","23550","21300"
"In post","2022","Cheshire","EO","1370","1300","29770","28840"
"In post","2022","Cheshire","G6","65","65","68770","65590"
"In post","2022","Cheshire","G7","230","220","54250","53690"
"In post","2022","Cheshire","HEO","685","665","36290","36740"
"In post","2022","Cheshire","SCS level","15","15","85160","80540"
"In post","2022","Cheshire","SEO","375","360","43620","45480"
"In post","2022","Cheshire","Unknown","290","265","29030","27370"
"In post","2022","Cornwall and Isles of Scilly","AA","110","100","19450","19200"
"In post","2022","Cornwall and Isles of Scilly","AO","610","555","21510","21260"
"In post","2022","Cornwall and Isles of Scilly","EO","590","540","27320","27570"
"In post","2022","Cornwall and Isles of Scilly","G6","20","15","70530","66150"
"In post","2022","Cornwall and Isles of Scilly","G7","65","60","55150","51760"
"In post","2022","Cornwall and Isles of Scilly","HEO","180","170","33040","33000"
"In post","2022","Cornwall and Isles of Scilly","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","SEO","95","90","40390","38260"
"In post","2022","Cornwall and Isles of Scilly","Unknown","95","85","29380","26310"
"In post","2022","Cumbria","AA","80","75","20240","19810"
"In post","2022","Cumbria","AO","870","780","22470","21300"
"In post","2022","Cumbria","EO","600","550","26290","26030"
"In post","2022","Cumbria","G6","20","20","63390","60250"
"In post","2022","Cumbria","G7","90","85","54410","50430"
"In post","2022","Cumbria","HEO","210","195","31140","30450"
"In post","2022","Cumbria","SCS level","5","5","[c]","[c]"
"In post","2022","Cumbria","SEO","135","125","39980","37230"
"In post","2022","Cumbria","Unknown","310","290","36790","33500"
