"Status","Year","Organisation","Region_ITL2","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","Outside London","AA","30","25","23160","23230"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","Outside London","EO","40","35","29390","30040"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","Outside London","G7","5","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","Outside London","HEO","25","25","34650","36130"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","Outside London","SEO","10","10","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","West Central Scotland","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Berkshire, Buckinghamshire and Oxfordshire","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Cheshire","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Outside London","AO","15","10","20210","20040"
"In post","2022","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Outside London","EO","40","40","24440","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Outside London","HEO","40","35","32060","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Outside London","SEO","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Devon","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Devon","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Dorset and Somerset","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Dorset and Somerset","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Dorset and Somerset","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Anglia","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Anglia","Outside London","EO","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Anglia","Outside London","G6","[c]","[c]","[c]","[c]"
