"Status","Year","Age","Ethnicity","Function_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Debt","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Grants Management","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Internal Audit","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","AA","5","5","[c]","[c]"
"In post","2022","16-19","Asian","No function","AO","40","35","21360","21250"
"In post","2022","16-19","Asian","No function","EO","15","15","[c]","[c]"
"In post","2022","16-19","Asian","No function","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","AO","10","5","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Debt","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data & Technology","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data & Technology","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Grants Management","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Internal Audit","AO","[c]","[c]","[c]","[c]"
