"Status","Year","Age","Function_of_post","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","London","EO","10","10","27100","27680"
"In post","2022","16-19","Analysis","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Wales","EO","5","5","[c]","[c]"
"In post","2022","16-19","Analysis","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","London","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Communications","London","EO","5","5","[c]","[c]"
"In post","2022","16-19","Communications","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","East Midlands (England)","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Debt","North East (England)","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Debt","North West (England)","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Debt","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Scotland","AA/AO","10","10","21250","21250"
"In post","2022","16-19","Debt","Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Yorkshire and The Humber","AA/AO","10","10","21250","21250"
"In post","2022","16-19","Digital, Data & Technology","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","South West (England)","AA/AO","10","10","18240","19380"
"In post","2022","16-19","Digital, Data & Technology","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Scotland","AA/AO","10","5","[c]","[c]"
"In post","2022","16-19","Finance","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","South West (England)","EO","15","15","19730","19460"
"In post","2022","16-19","Finance","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","East of England","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Legal","London","AA/AO","10","10","22010","20370"
"In post","2022","16-19","Legal","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","East Midlands (England)","AA/AO","35","35","21950","21260"
"In post","2022","16-19","No function","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","East of England","AA/AO","25","25","22830","21810"
"In post","2022","16-19","No function","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","London","AA/AO","35","30","24640","24080"
"In post","2022","16-19","No function","London","EO","30","30","25890","25170"
"In post","2022","16-19","No function","North East (England)","AA/AO","45","40","21290","21250"
"In post","2022","16-19","No function","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","North East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","North West (England)","AA/AO","100","95","21270","21250"
"In post","2022","16-19","No function","North West (England)","EO","10","10","26490","27080"
"In post","2022","16-19","No function","North West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Scotland","AA/AO","45","45","21430","21250"
"In post","2022","16-19","No function","South East (England)","AA/AO","65","60","23350","21790"
"In post","2022","16-19","No function","South East (England)","EO","5","5","[c]","[c]"
"In post","2022","16-19","No function","South East (England)","Unknown","[c]","[c]","[c]","[c]"
