"Status","Year","Age","Organisation","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","EO","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","AO","Heterosexual / straight","100","95","21680","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","AO","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","EO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Disclosure Scotland","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Disclosure Scotland","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","AA","Heterosexual / straight","20","15","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","AA","Unknown","30","25","18310","18310"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","AO","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Unknown","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","16-19","FCDO Services","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Food Standards Scotland","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Food Standards Scotland","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Food Standards Scotland","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Forestry and Land Scotland","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Forestry and Land Scotland","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Forestry and Land Scotland","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Actuary's Department","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Actuary's Department","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Actuary's Department","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Health and Safety Executive","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Health and Safety Executive","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Health and Safety Executive","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","AO","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Crown Prosecution Service Inspectorate","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Crown Prosecution Service Inspectorate","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","AA","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","AA","Unknown","30","30","21050","20890"
"In post","2022","16-19","HM Prison and Probation Service","AO","Heterosexual / straight","55","55","24160","23140"
"In post","2022","16-19","HM Prison and Probation Service","AO","LGBO","10","10","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","AO","Unknown","35","35","24640","23140"
"In post","2022","16-19","HM Prison and Probation Service","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","AO","Heterosexual / straight","70","70","21310","21250"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","AO","LGBO","5","5","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","AO","Unknown","100","95","21410","21250"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","EO","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Home Office","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","AO","Unknown","25","20","[c]","[c]"
"In post","2022","16-19","Home Office","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","EO","Unknown","15","15","[c]","[c]"
"In post","2022","16-19","Intellectual Property Office","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Intellectual Property Office","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Intellectual Property Office","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal Aid Agency","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal Aid Agency","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal Aid Agency","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Maritime and Coastguard Agency","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Maritime and Coastguard Agency","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Met Office","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Met Office","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Met Office","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Met Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Met Office","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice (excl. agencies)","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice (excl. agencies)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Crime Agency","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Crime Agency","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Savings and Investments","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Savings and Investments","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland Office","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Budget Responsibility","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Budget Responsibility","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Rail and Road","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Rail and Road","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of the Public Guardian","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of the Public Guardian","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of the Public Guardian","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Registers of Scotland","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Registers of Scotland","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Registers of Scotland","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Registers of Scotland","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Registers of Scotland","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Royal Fleet Auxiliary","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Royal Fleet Auxiliary","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Royal Fleet Auxiliary","Unknown","Unknown","35","35","17940","16450"
"In post","2022","16-19","Rural Payments Agency","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Rural Payments Agency","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Rural Payments Agency","AO","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Rural Payments Agency","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Rural Payments Agency","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Courts and Tribunals Service","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Courts and Tribunals Service","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Courts and Tribunals Service","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Courts and Tribunals Service","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Courts and Tribunals Service","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Courts and Tribunals Service","AO","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Scottish Government (excl. agencies)","AA","Heterosexual / straight","10","10","[c]","[c]"
