"Status","Year","Function_of_post","Region_ITL2","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Heterosexual / straight","10","5","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cheshire","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cheshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cheshire","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cheshire","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","SEO/HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Cumbria","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","G6/G7","Heterosexual / straight","10","5","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","SEO/HEO","Heterosexual / straight","30","30","35980","34990"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Devon","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon","EO","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Devon","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Devon","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","EO","Unknown","20","15","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","SEO/HEO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","SEO/HEO","Unknown","30","30","[c]","[c]"
"In post","2022","Analysis","East Anglia","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","East Anglia","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Anglia","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Anglia","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","East Anglia","EO","Heterosexual / straight","30","30","25450","25240"
"In post","2022","Analysis","East Anglia","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Anglia","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Anglia","EO","Unknown","30","30","[c]","[c]"
"In post","2022","Analysis","East Anglia","G6/G7","Heterosexual / straight","25","20","[c]","[c]"
"In post","2022","Analysis","East Anglia","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Anglia","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Anglia","G6/G7","Unknown","40","35","52560","49040"
"In post","2022","Analysis","East Anglia","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Anglia","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Anglia","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Anglia","SEO/HEO","Heterosexual / straight","60","55","33760","35900"
"In post","2022","Analysis","East Anglia","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Anglia","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","East Anglia","SEO/HEO","Unknown","110","105","33370","30860"
"In post","2022","Analysis","East Wales","AA/AO","Heterosexual / straight","45","40","20090","19860"
"In post","2022","Analysis","East Wales","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Wales","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Wales","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","East Wales","EO","Heterosexual / straight","95","90","24970","24030"
"In post","2022","Analysis","East Wales","EO","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","East Wales","EO","Undeclared","5","5","[c]","[c]"
