"Status","Year","Ethnicity","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","35","35","49530","42850"
"In post","2022","Asian","Angus and Dundee City","50","45","27040","22140"
"In post","2022","Asian","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Barking & Dagenham and Havering","175","160","31030","31060"
"In post","2022","Asian","Barnet","460","425","38170","32140"
"In post","2022","Asian","Barnsley, Doncaster and Rotherham","35","30","27910","27570"
"In post","2022","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","400","390","35920","33090"
"In post","2022","Asian","Bedford","85","80","28490","27570"
"In post","2022","Asian","Belfast","10","10","[c]","[c]"
"In post","2022","Asian","Berkshire","315","290","30480","29290"
"In post","2022","Asian","Bexley and Greenwich","110","100","31070","31060"
"In post","2022","Asian","Birmingham","3035","2850","28330","26780"
"In post","2022","Asian","Blackburn with Darwen","135","115","26310","27570"
"In post","2022","Asian","Blackpool","130","125","29730","27570"
"In post","2022","Asian","Bournemouth, Christchurch and Poole","10","10","[c]","[c]"
"In post","2022","Asian","Bradford","835","745","24600","21260"
"In post","2022","Asian","Breckland and South Norfolk","5","5","[c]","[c]"
"In post","2022","Asian","Brent","145","130","30970","31060"
"In post","2022","Asian","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Brighton and Hove","20","15","[c]","[c]"
"In post","2022","Asian","Bristol, City of","210","195","34240","29180"
"In post","2022","Asian","Bromley","30","25","[c]","[c]"
"In post","2022","Asian","Buckinghamshire","105","95","31370","28140"
"In post","2022","Asian","Caithness and Sutherland, and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Calderdale and Kirklees","175","160","26850","27570"
"In post","2022","Asian","Cambridgeshire CC","90","85","33770","27900"
"In post","2022","Asian","Camden and City of London","345","330","33950","28850"
"In post","2022","Asian","Cardiff and Vale of Glamorgan","300","285","31100","26820"
"In post","2022","Asian","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Central Bedfordshire","15","10","[c]","[c]"
"In post","2022","Asian","Central Hampshire","70","70","32000","28560"
"In post","2022","Asian","Central Valleys","40","35","29610","27570"
