"Status","Year","Age","Function_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","London","Female","10","10","[c]","[c]"
"In post","2022","16-19","Analysis","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Outside London","Female","10","10","[c]","[c]"
"In post","2022","16-19","Analysis","Outside London","Male","10","10","[c]","[c]"
"In post","2022","16-19","Analysis","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","London","Female","10","10","[c]","[c]"
"In post","2022","16-19","Communications","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Outside London","Male","5","5","[c]","[c]"
"In post","2022","16-19","Counter Fraud","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Outside London","Female","5","5","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Outside London","Male","10","10","[c]","[c]"
"In post","2022","16-19","Debt","Outside London","Female","30","30","21450","21250"
"In post","2022","16-19","Debt","Outside London","Male","15","15","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Outside London","Female","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Outside London","Male","20","20","[c]","[c]"
"In post","2022","16-19","Finance","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Outside London","Female","15","15","[c]","[c]"
"In post","2022","16-19","Finance","Outside London","Male","15","15","[c]","[c]"
"In post","2022","16-19","Grants Management","Outside London","Female","5","5","[c]","[c]"
"In post","2022","16-19","Grants Management","Outside London","Male","5","5","[c]","[c]"
"In post","2022","16-19","Human Resources","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Outside London","Female","10","10","[c]","[c]"
"In post","2022","16-19","Human Resources","Outside London","Male","5","5","[c]","[c]"
"In post","2022","16-19","Internal Audit","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","London","Female","5","5","[c]","[c]"
"In post","2022","16-19","Legal","London","Male","5","5","[c]","[c]"
"In post","2022","16-19","Legal","Outside London","Female","15","15","[c]","[c]"
"In post","2022","16-19","Legal","Outside London","Male","5","5","[c]","[c]"
"In post","2022","16-19","No function","London","Female","30","30","25230","24300"
"In post","2022","16-19","No function","London","Male","35","30","25180","25170"
"In post","2022","16-19","No function","Outside London","Female","330","315","21850","21250"
"In post","2022","16-19","No function","Outside London","Male","285","270","21470","21250"
"In post","2022","16-19","Project Delivery","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Outside London","Female","20","20","[c]","[c]"
"In post","2022","16-19","Project Delivery","Outside London","Male","95","95","18300","17930"
"In post","2022","16-19","Property","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Outside London","Female","5","5","[c]","[c]"
