"Status","Year","Age","Profession_of_post","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Commercial","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","London","AO","5","5","[c]","[c]"
"In post","2022","16-19","Communications","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Outside London","AA","10","10","18240","19380"
"In post","2022","16-19","Digital, Data and Technology","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Outside London","EO","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","London","EO","15","15","25610","24300"
"In post","2022","16-19","Economics","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","Outside London","EO","5","5","[c]","[c]"
"In post","2022","16-19","Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Outside London","AO","5","5","[c]","[c]"
"In post","2022","16-19","Finance","Outside London","EO","20","20","20500","19460"
"In post","2022","16-19","Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","London","EO","[c]","[c]","[c]","[c]"
