"Status","Year","Parent_department","Profession_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Commercial","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Outside London","SEO/HEO","15","15","35140","38180"
"In post","2022","Attorney General's Departments","Communications","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","London","EO","10","10","27740","27040"
"In post","2022","Attorney General's Departments","Communications","London","G6/G7","20","20","59800","54760"
"In post","2022","Attorney General's Departments","Communications","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","London","SEO/HEO","35","35","35950","33900"
"In post","2022","Attorney General's Departments","Communications","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Outside London","SEO/HEO","15","15","39000","39750"
"In post","2022","Attorney General's Departments","Corporate Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","London","EO","40","40","27250","26260"
"In post","2022","Attorney General's Departments","Counter Fraud","London","G6/G7","80","75","65280","66200"
"In post","2022","Attorney General's Departments","Counter Fraud","London","SCS level","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","London","SEO/HEO","115","115","38030","40000"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","London","AA/AO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","London","EO","15","15","29400","28980"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","London","G6/G7","20","20","61060","57620"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","London","SEO/HEO","40","40","39310","40170"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Outside London","EO","20","20","26260","25700"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Outside London","G6/G7","20","20","55820","50850"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Outside London","SEO/HEO","45","45","34780","33310"
"In post","2022","Attorney General's Departments","Finance","London","AA/AO","10","10","23750","23770"
"In post","2022","Attorney General's Departments","Finance","London","EO","20","15","27570","27160"
"In post","2022","Attorney General's Departments","Finance","London","G6/G7","20","15","61270","59490"
"In post","2022","Attorney General's Departments","Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","London","SEO/HEO","30","30","34930","32570"
"In post","2022","Attorney General's Departments","Finance","Outside London","AA/AO","65","55","22320","22200"
"In post","2022","Attorney General's Departments","Finance","Outside London","EO","40","35","26370","25920"
"In post","2022","Attorney General's Departments","Finance","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","Outside London","SEO/HEO","30","30","33190","32480"
"In post","2022","Attorney General's Departments","Human Resources","London","AA/AO","20","20","23380","23770"
"In post","2022","Attorney General's Departments","Human Resources","London","EO","25","25","27450","26970"
"In post","2022","Attorney General's Departments","Human Resources","London","G6/G7","35","35","58860","54760"
"In post","2022","Attorney General's Departments","Human Resources","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","London","SEO/HEO","50","45","34980","33930"
"In post","2022","Attorney General's Departments","Human Resources","Outside London","AA/AO","15","10","21330","22200"
"In post","2022","Attorney General's Departments","Human Resources","Outside London","EO","20","20","25940","25480"
"In post","2022","Attorney General's Departments","Human Resources","Outside London","G6/G7","20","20","55690","51470"
"In post","2022","Attorney General's Departments","Human Resources","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","Outside London","SEO/HEO","65","65","33070","30770"
"In post","2022","Attorney General's Departments","Intelligence Analysis","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Intelligence Analysis","London","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","London","EO","10","10","27920","27760"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","London","G6/G7","10","10","60640","54760"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","London","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","Outside London","EO","10","10","28430","28430"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","Outside London","G6/G7","[c]","[c]","[c]","[c]"
