"Status","Year","Disability","Function_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Derbyshire and Nottinghamshire","10","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Devon","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Dorset and Somerset","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Anglia","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Wales","120","115","36180","36440"
"In post","2022","Declared disabled","Analysis","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Eastern Scotland","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","25","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Greater Manchester","30","30","42240","40520"
"In post","2022","Declared disabled","Analysis","Hampshire and Isle of Wight","80","70","41120","38340"
"In post","2022","Declared disabled","Analysis","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Inner London - East","75","70","44880","41750"
"In post","2022","Declared disabled","Analysis","Inner London - West","205","195","47320","42220"
"In post","2022","Declared disabled","Analysis","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Merseyside","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Northumberland, and Tyne and Wear","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Outer London - South","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","South Yorkshire","25","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","West Central Scotland","[c]","[c]","[c]","[c]"
